Location,Beacon 1,RSSI 1,Dist 1 (m),Beacon 2,RSSI 2,Dist 2 (m),Beacon 3,RSSI 3,Dist 3 (m),X,Y,X_smooth,Y_smooth
K05,b3006,-77.0,7.94,b3002,-78.0,8.91,b3004,-78.0,8.91,14.0,5.556,-1.7756097809149916,28.098117179528728
K04,b3002,-67.0,2.51,b3003,-81.0,12.59,b3006,-81.0,12.59,-7.022,5.5,-9.166467255119407,19.85864524809339
N04,b3003,-60.0,1.12,b3006,-79.0,10.0,b3002,-81.0,12.59,31.654,-10.957,-6.349423602390212,20.954379338876556
O04,b3003,-63.0,1.58,b3002,-77.0,7.94,b3006,-77.0,7.94,19.573,-4.597,-6.266632332331733,19.969071022257715
O04,b3003,-56.0,0.71,b3002,-73.0,5.01,b3006,-76.0,7.08,15.077,-2.77,-6.807288979762496,18.74710046583668
O04,b3003,-62.0,1.41,b3002,-77.0,7.94,b3006,-80.0,11.22,19.638,-15.15,-9.181309813887566,14.29322041548815
O04,b3003,-61.0,1.26,b3002,-81.0,12.59,b3006,-82.0,14.13,31.613,-27.49,-10.20182796672453,10.356933780162525
O04,b3003,-66.0,2.24,b3002,-77.0,7.94,b3006,-78.0,8.91,19.26,-6.903,-7.662857459140302,13.135060748825225
P04,b3003,-75.0,6.31,b3006,-77.0,7.94,b3002,-81.0,12.59,26.835,1.619,-0.35163495243090104,20.91263104575893
Q04,b3003,-71.0,3.98,b3002,-78.0,8.91,b3007,-80.0,11.22,19.948,-18.105,-4.450356047192613,13.570270930776788
Q04,b3003,-72.0,4.47,b3002,-79.0,10.0,b3007,-81.0,12.59,22.006,-25.597,-8.878942663837496,6.524797377823571
N03,b3003,-74.0,5.62,b3006,-75.0,6.31,b3004,-81.0,12.59,0.142,4.135,-8.4391534196794,9.113058078572038
N03,b3003,-71.0,3.98,b3006,-76.0,7.08,b3005,-82.0,14.13,30.676,-0.212,1.1695514363886517,19.36947239795091
N03,b3003,-69.0,3.16,b3006,-78.0,8.91,b3005,-81.0,12.59,21.882,-6.072,1.9652114101770843,18.353755559030297
M03,b3003,-65.0,2.0,b3006,-76.0,7.08,b3005,-80.0,11.22,21.472,-2.19,2.740888201327322,18.25269605031672
L03,b3003,-74.0,5.62,b3002,-76.0,7.08,b3005,-81.0,12.59,14.312,-12.562,-2.5229463315642358,11.028989566002638
O02,b3003,-76.0,7.08,b3006,-78.0,8.91,b3005,-79.0,10.0,14.571,0.614,-1.2244477101077464,13.213294480071854
N01,b3006,-74.0,5.62,b3003,-78.0,8.91,b3002,-81.0,12.59,21.882,13.468,6.501096885170625,22.687072355599227
